Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2025-01-17,New York Times,Entertainment & Recreation,Fidelity Rewards Visa *4913,New York Times,,-1.57,
2025-01-17,Resonance Violins,Child Activities,Fidelity Rewards Visa *4913,Resonance Violins,,-21.00,
2025-01-17,The Children's Place,Clothing,Fidelity Rewards Visa *4913,The Children's Place,,-17.18,
2025-01-17,Target,Shopping,Fidelity Rewards Visa *4913,Target,,-21.04,
2025-01-15,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-17.95,
2025-01-15,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-48.36,
2025-01-14,Creativemelodies or Cabot Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Creativemelodies or Cabot Pa,,-65.00,
2025-01-14,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-171.19,
2025-01-13,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-80.30,
2025-01-13,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-79.66,
2025-01-13,Jets Pizza Pa Pittsburgh,Restaurants & Bars,Fidelity Rewards Visa *4913,Jets Pizza Pa Pittsburgh,,-36.97,
2025-01-13,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-55.00,
2025-01-13,Espresso a Mano Dormont Pa,Coffee Shops,Fidelity Rewards Visa *4913,Espresso a Mano Dormont Pa,,-6.75,
2025-01-13,Primanti Bros Mt Leban Lebanon Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Primanti Bros Mt Leban Lebanon Pa,,-48.68,
2025-01-10,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-55.67,
2025-01-10,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,-41.62,
2025-01-09,Poshmark,Clothing,Fidelity Rewards Visa *4913,Poshmark,,-37.97,
2025-01-09,Poshmark,Clothing,Fidelity Rewards Visa *4913,Poshmark,,-32.97,
2025-01-09,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-58.50,
2025-01-09,GetGo,Gas,Fidelity Rewards Visa *4913,GetGo,,-36.15,
2025-01-09,US Postal Service,Postage & Shipping,Fidelity Rewards Visa *4913,US Postal Service,,-11.70,
2025-01-09,Mt Lebanon Online,Child Activities,Fidelity Rewards Visa *4913,Mt Lebanon Online,,-49.00,
2025-01-07,Pet Works Tanger Washington Pa,Pets,Fidelity Rewards Visa *4913,Pet Works Tanger Washington Pa,,-20.08,
2025-01-06,Los Pittsburgh Ou Washington Pa,Paychecks,Fidelity Rewards Visa *4913,Los Pittsburgh Ou Washington Pa,,14.00,
2025-01-06,Adidas,Clothing,Fidelity Rewards Visa *4913,Adidas,,37.08,
2025-01-06,Mavis Pittsburgh Pa,Gas,Fidelity Rewards Visa *4913,Mavis Pittsburgh Pa,,-21.39,
2025-01-06,Oakland Admissions Car Pittsburgh Pa,Charity,Fidelity Rewards Visa *4913,Oakland Admissions Car Pittsburgh Pa,,-10.00,
2025-01-06,Eat N Park Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Eat N Park Pittsburgh Pa,,-23.00,
2025-01-06,Jets Pizza Pa Pittsburgh,Restaurants & Bars,Fidelity Rewards Visa *4913,Jets Pizza Pa Pittsburgh,,-32.70,
2025-01-06,Jiffy Lube,Auto Maintenance,Fidelity Rewards Visa *4913,Jiffy Lube,,-72.18,
2025-01-06,Auntie Anne's,Restaurants & Bars,Fidelity Rewards Visa *4913,Auntie Anne's,,-27.75,
2025-01-06,Levi's Outlet Washington Pa,Shopping,Fidelity Rewards Visa *4913,Levi's Outlet Washington Pa,,-89.98,
2025-01-06,Mtlebanonsoccer,Travel & Vacation,Fidelity Rewards Visa *4913,Mtlebanonsoccer,,-110.00,
2025-01-06,Crocs,Shopping,Fidelity Rewards Visa *4913,Crocs,,-6.45,
2025-01-06,Signature Locker Httpssignatur Fl,Clothing,Fidelity Rewards Visa *4913,Signature Locker Httpssignatur Fl,,-29.95,
2025-01-06,Eddie Bauer,Clothing,Fidelity Rewards Visa *4913,Eddie Bauer,,-76.74,
2025-01-06,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-187.67,
2025-01-03,Walmart,Shopping,Fidelity Rewards Visa *4913,Walmart,,19.98,
2025-01-03,Ups,Postage & Shipping,Fidelity Rewards Visa *4913,Ups,,-9.62,
2025-01-03,Just Thrive Httpsjustthri Il,Personal Care,Fidelity Rewards Visa *4913,Just Thrive Httpsjustthri Il,Probiotic,-44.99,
2025-01-02,Instacart,Groceries,Fidelity Rewards Visa *4913,Instacart,,-22.29,
